@relation databasetraining

@attribute area numeric
@attribute perimeter numeric
@attribute circularity numeric
@attribute compactness numeric
@attribute major numeric
@attribute minor numeric
@attribute eccentricity numeric
@attribute hisgreypeak numeric
@attribute q1grey numeric
@attribute q2grey numeric
@attribute q3grey numeric
@attribute q1r numeric
@attribute q2r numeric
@attribute q3r numeric
@attribute q1g numeric
@attribute q2g numeric
@attribute q3g numeric
@attribute q1b numeric
@attribute q2b numeric
@attribute q3b numeric
@attribute Stage {'Stage 1','Stage 2','Stage 3','Stage 4', 'Stage 5'}

@data
28897.0, 1193.72729, 0.254831076, 0.0202788133, 155.606232, 80.6735992, 3.72041249, 64.0, 59.0, 66.0, 77.0, 59.0, 67.0, 82.0, 88.0, 97.0, 109.0, 29.0, 35.0, 44.0,'Stage 2'
152261.0, 8283.88086, 0.0278824437, 0.00221881433, 560.243896, 352.248047, 2.52963042, 114.0, 82.0, 100.0, 111.0, 84.0, 110.0, 126.0, 120.0, 142.0, 156.0, 40.0, 47.0, 53.0,'Stage 4'
56794.0, 4857.47266, 0.0302476492, 0.00240703137, 199.692657, 160.8134, 1.54198349, 110.0, 89.0, 104.0, 111.0, 99.0, 116.0, 125.0, 122.0, 150.0, 161.0, 40.0, 45.0, 52.0,'Stage 2'
20197.0, 1812.31348, 0.0772734061, 0.00614922261, 141.27681, 107.620857, 1.72325206, 81.0, 72.0, 85.0, 97.0, 77.0, 93.0, 107.0, 94.0, 118.0, 134.0, 39.0, 44.0, 55.0,'Stage 1'
2349.0, 244.5513, 0.493574739, 0.0392774306, 46.7606201, 17.6602707, 7.01077223, 31.0, 39.0, 60.0, 85.0, 40.0, 64.0, 94.0, 56.0, 77.0, 103.0, 24.0, 39.0, 60.0,'Stage 1'
103947.0, 6459.01611, 0.0313104317, 0.002491605, 387.623901, 238.624115, 2.63871479, 91.0, 91.0, 100.0, 111.0, 99.0, 109.0, 124.0, 131.0, 140.0, 153.0, 44.0, 51.0, 60.0,'Stage 4'
14474.0, 2308.30786, 0.0341358669, 0.00271644606, 201.242645, 113.368355, 3.15105748, 115.0, 104.0, 113.0, 121.0, 123.0, 132.0, 143.0, 135.0, 154.0, 162.0, 49.0, 56.0, 65.0,'Stage 4'
21319.0, 1319.31702, 0.153914079, 0.0122480933, 105.822609, 93.3371429, 1.28542852, 65.0, 61.0, 68.0, 81.0, 60.0, 69.0, 85.0, 92.0, 102.0, 115.0, 30.0, 34.0, 45.0,'Stage 1'
55481.0, 2509.71826, 0.110688947, 0.00880834647, 209.637268, 144.442032, 2.10644341, 59.0, 59.0, 71.0, 98.0, 60.0, 77.0, 110.0, 89.0, 104.0, 139.0, 26.0, 35.0, 45.0,'Stage 2'
8802.0, 974.063049, 0.116578132, 0.00927699264, 90.8249969, 73.0565186, 1.5455848, 64.0, 68.0, 88.0, 103.0, 71.0, 96.0, 114.0, 102.0, 123.0, 138.0, 32.0, 44.0, 60.0,'Stage 1'
77555.0, 4866.20117, 0.0411566086, 0.00327513879, 455.121674, 246.886215, 3.39829683, 93.0, 90.0, 98.0, 107.0, 100.0, 110.0, 123.0, 132.0, 142.0, 156.0, 35.0, 39.0, 46.0,'Stage 3'
19018.0, 1001.8183, 0.238120511, 0.0189490281, 101.278778, 88.4524231, 1.31104457, 46.0, 51.0, 62.0, 73.0, 51.0, 67.0, 79.0, 73.0, 87.0, 101.0, 28.0, 34.0, 43.0,'Stage 2'
36258.0, 1939.83972, 0.121082678, 0.00963545311, 213.064499, 168.165833, 1.60526454, 87.0, 87.0, 93.0, 102.0, 94.0, 103.0, 114.0, 124.0, 133.0, 143.0, 41.0, 45.0, 50.0,'Stage 3'
26418.0, 991.702698, 0.337556779, 0.0268619154, 129.905548, 76.8768539, 2.85538173, 70.0, 59.0, 70.0, 80.0, 60.0, 74.0, 86.0, 89.0, 100.0, 111.0, 29.0, 36.0, 46.0,'Stage 2'
14513.0, 2585.0957, 0.0272906441, 0.00217172038, 231.301132, 104.204727, 4.92697859, 112.0, 108.0, 114.0, 121.0, 123.0, 130.0, 139.0, 148.0, 158.0, 164.0, 49.0, 57.0, 66.0,'Stage 4'
76892.0, 3731.91431, 0.0693789423, 0.00552100083, 409.051697, 216.50209, 3.56970382, 83.0, 82.0, 89.0, 103.0, 91.0, 102.0, 121.0, 122.0, 130.0, 144.0, 33.0, 37.0, 48.0,'Stage 4'
129379.0, 5997.05566, 0.0452061482, 0.00359739084, 498.087341, 376.842377, 1.7469945, 67.0, 69.0, 80.0, 98.0, 72.0, 85.0, 109.0, 107.0, 120.0, 137.0, 28.0, 34.0, 50.0,'Stage 4'
135758.0, 5287.13281, 0.0610288046, 0.004856518, 464.066833, 173.306122, 7.17023373, 67.0, 65.0, 74.0, 92.0, 67.0, 79.0, 102.0, 99.0, 111.0, 128.0, 29.0, 34.0, 46.0,'Stage 4'
73222.0, 5478.35498, 0.030658517, 0.00243972731, 321.49649, 201.70314, 2.54054666, 114.0, 79.0, 97.0, 110.0, 83.0, 107.0, 123.0, 114.0, 136.0, 152.0, 41.0, 48.0, 55.0,'Stage 4'
46468.0, 2253.70068, 0.114966527, 0.0091487458, 157.586395, 136.350876, 1.33573902, 59.0, 63.0, 76.0, 93.0, 63.0, 82.0, 101.0, 90.0, 108.0, 129.0, 35.0, 41.0, 49.0,'Stage 2'
40044.0, 1820.60071, 0.151816115, 0.0120811425, 177.874512, 85.2367859, 4.35485077, 66.0, 65.0, 70.0, 99.0, 65.0, 71.0, 110.0, 99.0, 105.0, 136.0, 31.0, 35.0, 49.0,'Stage 2'
70659.0, 6615.6792, 0.020287497, 0.00161442766, 399.723297, 222.914886, 3.21544266, 112.0, 93.0, 104.0, 111.0, 102.0, 115.0, 124.0, 132.0, 148.0, 160.0, 43.0, 46.0, 52.0,'Stage 3'
76195.0, 4430.86865, 0.0487706512, 0.00388104515, 355.30542, 241.991425, 2.15577626, 85.0, 76.0, 87.0, 100.0, 83.0, 97.0, 114.0, 111.0, 126.0, 140.0, 29.0, 38.0, 49.0,'Stage 4'
7524.0, 948.916748, 0.105003171, 0.00835588668, 121.428848, 51.4647713, 5.56703138, 74.0, 76.0, 92.0, 110.0, 82.0, 102.0, 123.0, 105.0, 122.0, 142.0, 38.0, 50.0, 67.0,'Stage 1'
118316.0, 6553.49316, 0.0346184485, 0.00275484868, 484.56781, 368.618652, 1.72804296, 72.0, 75.0, 86.0, 102.0, 79.0, 93.0, 114.0, 113.0, 126.0, 142.0, 33.0, 38.0, 52.0,'Stage 4'
3549.0, 331.137085, 0.406724393, 0.0323661007, 61.9184494, 20.8941174, 8.78197193, 53.0, 53.0, 60.0, 74.0, 56.0, 64.0, 83.0, 74.0, 84.0, 101.0, 28.0, 33.0, 42.0,'Stage 1'
120153.0, 5223.68945, 0.0553337112, 0.00440331688, 597.680786, 154.257339, 15.012289, 84.0, 82.0, 93.0, 104.0, 92.0, 105.0, 121.0, 119.0, 133.0, 146.0, 33.0, 39.0, 47.0,'Stage 4'
48046.0, 2589.46191, 0.0900425985, 0.00716536259, 213.495361, 90.1679993, 5.60624456, 82.0, 82.0, 92.0, 107.0, 97.0, 111.0, 125.0, 116.0, 128.0, 149.0, 32.0, 38.0, 48.0,'Stage 4'
62075.0, 2972.09302, 0.0883083567, 0.00702735549, 224.521561, 117.742096, 3.63624024, 69.0, 69.0, 75.0, 89.0, 68.0, 76.0, 95.0, 105.0, 112.0, 125.0, 32.0, 37.0, 48.0,'Stage 2'
86854.0, 5528.39502, 0.0357109644, 0.00284178834, 304.231873, 301.742035, 1.01657104, 102.0, 96.0, 103.0, 110.0, 109.0, 120.0, 131.0, 139.0, 147.0, 155.0, 35.0, 39.0, 45.0,'Stage 4'
49306.0, 4166.0957, 0.0356985964, 0.00284080417, 313.60199, 226.199463, 1.92209351, 96.0, 95.0, 103.0, 112.0, 104.0, 113.0, 128.0, 139.0, 147.0, 156.0, 42.0, 48.0, 55.0,'Stage 3'
39188.0, 2088.65503, 0.112883255, 0.00898296386, 204.8069, 106.623344, 3.68964458, 52.0, 52.0, 60.0, 78.0, 51.0, 60.0, 83.0, 78.0, 89.0, 106.0, 25.0, 32.0, 46.0,'Stage 2'
143745.0, 5871.45264, 0.0523976125, 0.00416966947, 484.647095, 256.038757, 3.58294249, 75.0, 75.0, 84.0, 100.0, 78.0, 87.0, 109.0, 111.0, 122.0, 139.0, 37.0, 43.0, 53.0,'Stage 3'
30121.0, 913.538513, 0.453550398, 0.0360923931, 133.134277, 78.0057144, 2.91290975, 56.0, 55.0, 59.0, 66.0, 55.0, 61.0, 69.0, 84.0, 90.0, 98.0, 26.0, 28.0, 34.0,'Stage 2'
