@relation databasetraining

@attribute area numeric
@attribute perimeter numeric
@attribute circularity numeric
@attribute compactness numeric
@attribute major numeric
@attribute minor numeric
@attribute eccentricity numeric
@attribute hisgreypeak numeric
@attribute q1grey numeric
@attribute q2grey numeric
@attribute q3grey numeric
@attribute q1r numeric
@attribute q2r numeric
@attribute q3r numeric
@attribute q1g numeric
@attribute q2g numeric
@attribute q3g numeric
@attribute q1b numeric
@attribute q2b numeric
@attribute q3b numeric
@attribute Stage {'Stage 1','Stage 2','Stage 3','Stage 4', 'Stage 5'}

@data
192235.0, 5345.77246, 0.0845320448, 0.00672684656, 480.994354, 190.307068, 6.38807726, 43.0, 45.0, 59.0, 68.0, 42.0, 58.0, 70.0, 64.0, 84.0, 97.0, 29.0, 33.0, 42.0,'Stage 3'
17537.0, 1149.81067, 0.166691124, 0.0132648591, 108.889, 79.140976, 1.89306366, 54.0, 56.0, 65.0, 84.0, 58.0, 68.0, 90.0, 80.0, 91.0, 112.0, 30.0, 39.0, 51.0,'Stage 1'
4706.0, 471.345245, 0.266184986, 0.0211823266, 89.3055725, 25.9059734, 11.883853, 61.0, 59.0, 66.0, 77.0, 61.0, 68.0, 84.0, 84.0, 91.0, 103.0, 33.0, 37.0, 47.0,'Stage 1'
18246.0, 1550.64832, 0.0953566357, 0.00758823985, 116.716797, 107.520203, 1.17838335, 56.0, 59.0, 78.0, 96.0, 58.0, 81.0, 105.0, 81.0, 105.0, 130.0, 37.0, 45.0, 56.0,'Stage 1'
5557.0, 459.1026, 0.331307113, 0.0263645817, 59.6792908, 38.6084938, 2.38935995, 56.0, 57.0, 67.0, 84.0, 58.0, 68.0, 92.0, 79.0, 91.0, 108.0, 34.0, 42.0, 55.0,'Stage 1'
5132.0, 690.472656, 0.13527064, 0.0107644955, 70.2414398, 59.0705299, 1.41398609, 68.0, 65.0, 78.0, 105.0, 65.0, 84.0, 117.0, 88.0, 103.0, 126.0, 40.0, 49.0, 74.0,'Stage 1'
2285.0, 378.190918, 0.200758487, 0.0159758516, 57.6132927, 22.645813, 6.47246313, 55.0, 67.0, 87.0, 111.0, 74.0, 96.0, 124.0, 88.0, 110.0, 134.0, 37.0, 54.0, 79.0,'Stage 1'
8052.0, 662.499573, 0.230537951, 0.0183456279, 94.4363632, 35.5665207, 7.05010796, 54.0, 54.0, 60.0, 73.0, 53.0, 62.0, 79.0, 78.0, 86.0, 99.0, 29.0, 33.0, 45.0,'Stage 1'
6846.0, 543.386841, 0.291359037, 0.0231856145, 83.7836609, 36.2425652, 5.34417677, 51.0, 52.0, 61.0, 83.0, 52.0, 62.0, 90.0, 73.0, 83.0, 104.0, 31.0, 39.0, 56.0,'Stage 1'
20271.0, 1324.25403, 0.145258814, 0.011559329, 108.051544, 96.3388672, 1.25793684, 50.0, 50.0, 59.0, 79.0, 50.0, 61.0, 85.0, 71.0, 82.0, 105.0, 29.0, 35.0, 47.0,'Stage 1'
5154.0, 291.691254, 0.76121521, 0.0605755821, 46.0246506, 36.745903, 1.56878412, 44.0, 43.0, 52.0, 74.0, 42.0, 52.0, 80.0, 62.0, 74.0, 99.0, 26.0, 31.0, 45.0,'Stage 1'
